AnimalID,Sex,Treatment,DateOfBirth,Date,Age_days,BodyLength,UpTeethWidth
BAF004,F,IB,09/09/2020,31/12/2020,113,13.05,3.465
BAF004,F,IB,09/09/2020,21/09/2021,377,16.9,5.825
BAF004,F,IB,09/09/2020,30/09/2021,386,17.05,6.05
BAF004,F,IB,09/09/2020,30/03/2022,567,17.95,6.86
BAF004,F,IB,09/09/2020,26/09/2022,747,18.25,7.15
BAF004,F,IB,09/09/2020,19/12/2022,831,17.5,6.785
BAF004,F,IB,09/09/2020,21/12/2022,833,17.65,6.705
BAM001,M,IB,30/03/2020,29/07/2020,121,12.3,3.055
BAM001,M,IB,30/03/2020,06/04/2021,372,16.65,5.35
BAM001,M,IB,30/03/2020,30/09/2021,549,18.3,6.22
BAM001,M,IB,30/03/2020,05/04/2022,736,19,7.065
BAM001,M,IB,30/03/2020,04/10/2022,918,20,7.52
BAM001,M,IB,30/03/2020,20/04/2023,1116,19.95,7.415
BAM001,M,IB,30/03/2020,23/10/2023,1302,20.2,7.655
BAM001,M,IB,30/03/2020,22/11/2023,1332,20.05,7.585
BIF001,F,IB,29/10/2020,20/02/2021,114,11.75,3.06
BIF001,F,IB,29/10/2020,10/11/2021,377,15.05,3.75
BIF001,F,IB,29/10/2020,05/05/2022,553,16.1,5.345
BIF001,F,IB,29/10/2020,04/11/2022,736,17.75,5.765
BIF001,F,IB,29/10/2020,22/05/2023,935,17.5,5.82
BIF001,F,IB,29/10/2020,06/11/2023,1103,17.45,5.91
BIF005,F,IB,15/11/2021,02/12/2022,382,15,5.045
BIF005,F,IB,15/11/2021,29/05/2023,560,16.25,5.555
BIF005,F,IB,15/11/2021,27/11/2023,742,17,5.93
BIF006,F,IB,15/11/2021,02/12/2022,382,14.7,4.92
BIF006,F,IB,15/11/2021,29/05/2023,560,15.45,5.205
BIF006,F,IB,15/11/2021,27/11/2023,742,15.9,5.36
BIF007,F,IB,02/03/2022,18/04/2023,412,14.35,4.855
BIF007,F,IB,02/03/2022,04/10/2023,581,15.5,5.045
BIM002,M,IB,11/02/2021,03/03/2022,385,16.1,5.79
BIM002,M,IB,11/02/2021,09/09/2022,575,17.25,5.785
BIM002,M,IB,11/02/2021,17/03/2023,764,17.25,6.18
BIM002,M,IB,11/02/2021,22/03/2023,769,17.65,6.43
BIM002,M,IB,11/02/2021,18/09/2023,949,18.1,6.56
BIM004,M,IB,11/02/2021,03/03/2022,385,15.5,5.595
BIM004,M,IB,11/02/2021,09/09/2022,575,16.4,5.995
BIM004,M,IB,11/02/2021,17/03/2023,764,16.5,6.05
BIM004,M,IB,11/02/2021,22/03/2023,769,16.7,6.135
BIM004,M,IB,11/02/2021,23/03/2023,770,16.9,6.165
BIM008,M,IB,02/03/2022,04/10/2023,581,14.8,5.42
BIM009,M,IB,02/03/2022,18/04/2023,412,14.45,4.785
BIM009,M,IB,02/03/2022,04/10/2023,581,15.79,5.185
GEF001,F,NB,23/02/2020,26/06/2020,124,12.1,3.275
GEF001,F,NB,23/02/2020,04/03/2021,375,15,5.54
GEF001,F,NB,23/02/2020,23/09/2021,578,14.8,5.89
GEF001,F,NB,23/02/2020,18/03/2022,754,15.6,6.28
GEF001,F,NB,23/02/2020,20/09/2022,940,15.85,6.48
GEF001,F,NB,23/02/2020,20/09/2023,1305,17.8,6.77
GEM003,M,NB,23/02/2020,26/06/2020,124,11.75,3.07
GEM003,M,NB,23/02/2020,04/03/2021,375,16.5,6.135
GEM003,M,NB,23/02/2020,23/09/2021,578,16.25,6.815
GEM003,M,NB,23/02/2020,18/03/2022,754,18.2,7.165
GEM003,M,NB,23/02/2020,20/09/2022,940,17.65,7.37
GEM003,M,NB,23/02/2020,20/09/2023,1305,18,7.475
HCF001,F,NB,26/10/2020,19/02/2021,116,11.9,3.405
HCF001,F,NB,26/10/2020,10/11/2021,380,14.85,4.235
HCF001,F,NB,26/10/2020,04/05/2022,555,15.15,5.625
HCF001,F,NB,26/10/2020,07/11/2022,742,16,5.845
HCF001,F,NB,26/10/2020,17/05/2023,933,15.95,5.88
HCF001,F,NB,26/10/2020,03/11/2023,1103,16.45,5.47
HCF005,F,NB,01/02/2022,14/09/2023,590,17.3,6.185
HCM002,M,NB,26/10/2020,19/02/2021,116,12.95,3.91
HCM002,M,NB,26/10/2020,06/05/2021,192,14.75,4.805
HCM002,M,NB,26/10/2020,10/11/2021,380,17.3,6.59
HCM002,M,NB,26/10/2020,04/05/2022,555,18.4,7.185
HCM002,M,NB,26/10/2020,07/11/2022,742,19.2,7.305
HCM002,M,NB,26/10/2020,17/05/2023,933,18.75,7.6
HCM002,M,NB,26/10/2020,03/11/2023,1103,19.5,7.45
HCM003,M,NB,26/10/2020,19/02/2021,116,13.25,3.635
HCM003,M,NB,26/10/2020,06/05/2021,192,15.5,4.765
HCM003,M,NB,26/10/2020,10/11/2021,380,18.25,6.545
HCM003,M,NB,26/10/2020,04/05/2022,555,19.95,7.38
HCM003,M,NB,26/10/2020,07/11/2022,742,20,7.825
HCM003,M,NB,26/10/2020,17/05/2023,933,20.5,7.895
HCM003,M,NB,26/10/2020,03/11/2023,1103,20.45,7.88
HCM004,M,NB,01/02/2022,14/09/2023,590,18,6.925
HCM006,M,NB,01/02/2022,14/09/2023,590,17.35,6.635
HOM001,M,IB,10/11/2020,20/02/2021,102,12.4,3.095
HOM001,M,IB,10/11/2020,19/05/2021,190,14,4.245
HOM001,M,IB,10/11/2020,16/11/2021,371,15.85,6.3
HOM001,M,IB,10/11/2020,22/11/2021,377,16.1,6.105
HOM001,M,IB,10/11/2020,24/05/2022,560,17.1,6.735
HOM001,M,IB,10/11/2020,15/11/2022,735,18,7.125
HOM001,M,IB,10/11/2020,18/05/2023,919,18,7.325
HOM001,M,IB,10/11/2020,13/09/2023,1037,17.65,7.33
KBF005,F,NB,28/08/2020,23/09/2021,391,13.75,5.665
KBF005,F,NB,28/08/2020,01/10/2022,764,15.4,6.2
KBF005,F,NB,28/08/2020,07/03/2023,921,15.2,6.27
KBF005,F,NB,28/08/2020,08/03/2023,922,15.5,6.53
KBF010,F,NB,21/02/2021,18/03/2022,390,16.55,5.37
KBF010,F,NB,21/02/2021,29/09/2022,585,17.75,5.98
KBF010,F,NB,21/02/2021,07/03/2023,744,18.25,6.33
KBF010,F,NB,21/02/2021,08/03/2023,745,17.8,6.415
KBF011,F,NB,21/02/2021,18/03/2022,390,14.95,4.925
KBF011,F,NB,21/02/2021,29/09/2022,585,16.5,6.79
KBF011,F,NB,21/02/2021,07/03/2023,744,17,6.025
KBF011,F,NB,21/02/2021,08/03/2023,745,17.1,6.17
KBM002,M,NB,14/02/2020,20/05/2020,96,11.45,3.075
KBM002,M,NB,14/02/2020,18/02/2021,370,16.35,5.015
KBM002,M,NB,14/02/2020,14/03/2022,759,17.9,6.64
KBM002,M,NB,14/02/2020,06/09/2022,935,18.5,6.56
KBM002,M,NB,14/02/2020,07/03/2023,1117,18.5,6.955
KBM002,M,NB,14/02/2020,08/03/2023,1118,18.31,7.125
KBM008,M,NB,21/02/2021,18/03/2022,390,17.15,6.045
KBM008,M,NB,21/02/2021,29/09/2022,585,17.75,7.765
KBM008,M,NB,21/02/2021,07/03/2023,744,18.15,6.91
KBM008,M,NB,21/02/2021,08/03/2023,745,17.9,6.88
KBM009,M,NB,21/02/2021,18/03/2022,390,16,5.615
KBM009,M,NB,21/02/2021,29/09/2022,585,17.5,7.3
KBM009,M,NB,21/02/2021,07/03/2023,744,18,6.97
KBM009,M,NB,21/02/2021,08/03/2023,745,18.35,6.85
KSF001,F,NB,11/06/2020,14/09/2020,95,11.85,3.1
KSF001,F,NB,11/06/2020,08/07/2021,392,14.9,4.42
KSF001,F,NB,11/06/2020,13/12/2021,550,16.45,4.515
KSF001,F,NB,11/06/2020,20/06/2022,739,17.2,5.565
KSF001,F,NB,11/06/2020,19/06/2023,1103,17.85,6.32
KSF010,F,NB,11/07/2021,20/07/2022,374,15.2,4.79
KSF010,F,NB,11/07/2021,20/07/2023,739,16.9,5.705
KSF010,F,NB,11/07/2021,16/02/2024,950,17.85,5.795
KSM006,M,NB,02/03/2021,15/09/2021,197,15.4,3.95
KSM006,M,NB,02/03/2021,01/10/2022,578,19.1,6.23
KSM006,M,NB,02/03/2021,18/04/2023,777,19.15,6.64
KSM006,M,NB,02/03/2021,04/10/2023,946,20.75,6.94
KSM008,M,NB,02/03/2021,15/09/2021,197,13.85,4.05
KSM008,M,NB,02/03/2021,01/10/2022,578,17.5,6.475
KSM008,M,NB,02/03/2021,17/04/2023,776,18.1,6.675
KSM008,M,NB,02/03/2021,04/10/2023,946,18,6.565
KSM009,M,NB,11/07/2021,20/07/2022,374,16.25,5.445
KSM009,M,NB,11/07/2021,20/07/2023,739,17.9,6.585
KSM012,M,NB,28/01/2022,28/02/2023,396,16,5.14
KSM012,M,NB,28/01/2022,11/09/2023,591,17.35,5.475
KSM014,M,NB,28/01/2022,28/02/2023,396,16,5.06
KSM014,M,NB,28/01/2022,11/09/2023,591,16.5,5.58
KSM016,M,NB,28/01/2022,28/02/2023,396,16.25,5.405
KSM016,M,NB,28/01/2022,11/09/2023,591,16.6,5.825
MBF003,F,NB,09/06/2020,25/09/2020,108,12.7,3.5
MBF003,F,NB,09/06/2020,18/06/2021,374,15,5.06
MBF003,F,NB,09/06/2020,13/12/2021,552,16.8,5.76
MBF003,F,NB,09/06/2020,20/06/2022,741,16.6,6.46
MBF003,F,NB,09/06/2020,31/01/2023,966,17.65,6.61
MBF003,F,NB,09/06/2020,24/02/2023,990,17.45,6.695
MBF003,F,NB,09/06/2020,02/03/2023,996,16.75,6.845
MBF003,F,NB,09/06/2020,10/03/2023,1004,17.95,6.63
MBF003,F,NB,09/06/2020,16/11/2023,1255,17.6,6.21
MBF003,F,NB,09/06/2020,18/12/2023,1287,17.9,6.28
MBF004,F,NB,14/11/2020,20/02/2021,98,12.4,3.385
MBF004,F,NB,14/11/2020,24/11/2021,375,14.35,5.645
MBF004,F,NB,14/11/2020,31/05/2022,563,15.15,5.92
MBF004,F,NB,14/11/2020,02/12/2022,748,15.65,6.21
MBF004,F,NB,14/11/2020,31/01/2023,808,16,6.33
MBF004,F,NB,14/11/2020,24/02/2023,832,16.5,6.37
MBF004,F,NB,14/11/2020,02/03/2023,838,16.25,6.285
MBF004,F,NB,14/11/2020,04/03/2023,840,16.7,6.35
MBF004,F,NB,14/11/2020,16/11/2023,1097,16.15,6.39
MBF004,F,NB,14/11/2020,27/11/2023,1108,17.35,6.195
MBM005,M,NB,14/11/2020,20/02/2021,98,12.5,3.36
MBM005,M,NB,14/11/2020,27/05/2021,194,14.5,4.275
MBM005,M,NB,14/11/2020,24/11/2021,375,16.2,5.64
MBM005,M,NB,14/11/2020,31/05/2022,563,18.15,6.51
MBM005,M,NB,14/11/2020,02/12/2022,748,18.45,7.02
MBM005,M,NB,14/11/2020,26/05/2023,923,18.85,7.25
MBM005,M,NB,14/11/2020,17/10/2023,1067,19,7.465
MBM007,M,NB,19/03/2021,30/03/2022,376,16,5.75
MBM007,M,NB,19/03/2021,07/10/2022,567,16.75,6.205
MBM007,M,NB,19/03/2021,20/04/2023,762,17.65,6.625
MBM007,M,NB,19/03/2021,11/10/2023,936,17.9,6.86
MBM008,M,NB,14/08/2021,04/03/2022,202,13.95,4.46
MBM008,M,NB,14/08/2021,06/09/2022,388,17.05,5.66
MBM008,M,NB,14/08/2021,28/03/2023,591,19,6.73
MBM008,M,NB,14/08/2021,19/09/2023,766,20,7.025
MBM009,M,NB,14/08/2021,06/09/2022,388,14.85,4.99
MBM009,M,NB,14/08/2021,28/03/2023,591,16.95,6.105
MBM009,M,NB,14/08/2021,19/09/2023,766,17.2,6.35
PIF001,F,IB,28/06/2020,25/09/2020,89,12,1.7
PIF001,F,IB,28/06/2020,05/07/2021,372,16,5.19
PIF001,F,IB,28/06/2020,26/01/2022,577,17.25,6.04
PIF001,F,IB,28/06/2020,05/07/2022,737,17.9,6.52
PIF001,F,IB,28/06/2020,03/07/2023,1100,18.05,6.67
PIF004,F,IB,13/10/2020,20/02/2021,130,11.5,3.255
PIF004,F,IB,13/10/2020,21/10/2021,373,13.75,4.68
PIF004,F,IB,13/10/2020,25/04/2022,559,15.25,5.49
PIF004,F,IB,13/10/2020,19/10/2022,736,16.4,5.75
PIF004,F,IB,13/10/2020,11/05/2023,940,16.7,5.82
PIF004,F,IB,13/10/2020,30/10/2023,1112,16.9,5.99
PIF010,F,IB,16/05/2021,01/06/2022,381,15.45,3.545
PIF010,F,IB,16/05/2021,09/12/2022,572,16.35,5.815
PIF010,F,IB,16/05/2021,26/05/2023,740,16.65,5.95
PIF010,F,IB,16/05/2021,27/11/2023,925,17.75,6.28
PIF012,F,IB,11/09/2021,18/10/2023,767,14.9,5.225
PIM003,M,IB,13/10/2020,20/02/2021,130,12,3.325
PIM003,M,IB,13/10/2020,21/10/2021,373,14.85,5.105
PIM003,M,IB,13/10/2020,25/04/2022,559,16.25,6.225
PIM003,M,IB,13/10/2020,19/10/2022,736,17.85,6.205
PIM003,M,IB,13/10/2020,11/05/2023,940,17.1,6.345
PIM003,M,IB,13/10/2020,30/10/2023,1112,18,6.565
PIM006,M,IB,27/01/2021,03/02/2022,372,15.15,4.55
PIM006,M,IB,27/01/2021,03/08/2022,553,16.05,5.24
PIM006,M,IB,27/01/2021,14/09/2022,595,16,5.115
PIM006,M,IB,27/01/2021,11/09/2023,957,16.6,5.975
PIM013,M,IB,11/09/2021,28/09/2022,382,14.05,4.995
PIM013,M,IB,11/09/2021,18/10/2023,767,15.9,6.155
SNF003,F,IB,14/08/2020,20/11/2020,98,11.05,3.44
SNF003,F,IB,14/08/2020,02/03/2022,565,13.95,4.825
SNF003,F,IB,14/08/2020,22/03/2023,950,14.25,5.1
SNF003,F,IB,14/08/2020,15/03/2024,1309,14.85,5.355
SNF012,F,IB,19/08/2021,06/09/2022,383,14.65,4.795
SNF012,F,IB,19/08/2021,19/09/2023,761,16.5,5.08
SNF012,F,IB,19/08/2021,15/03/2024,939,16.15,5.53
SNF016,F,IB,02/12/2021,09/06/2023,554,15.1,5.145
SNF016,F,IB,02/12/2021,11/12/2023,739,16.1,5.4
SNF016,F,IB,02/12/2021,15/03/2024,834,16.5,5.335
SNF017,F,IB,02/12/2021,15/03/2024,834,14.3,4.725
SNM001,M,IB,14/08/2020,20/11/2020,98,11.25,3.135
SNM001,M,IB,14/08/2020,02/03/2022,565,16.45,5.6
SNM001,M,IB,14/08/2020,19/09/2022,766,17,5.985
SNM001,M,IB,14/08/2020,19/09/2023,1131,18.75,6.325
SNM001,M,IB,14/08/2020,15/03/2024,1309,18.35,6.625
SNM002,M,IB,14/08/2020,20/11/2020,98,11.85,3.02
SNM002,M,IB,14/08/2020,02/03/2022,565,17.05,5.825
SNM002,M,IB,14/08/2020,19/09/2022,766,17.45,6.135
SNM002,M,IB,14/08/2020,22/03/2023,950,16.9,6.07
SNM002,M,IB,14/08/2020,19/09/2023,1131,18,6.26
SNM002,M,IB,14/08/2020,15/03/2024,1309,18,6.345
SNM013,M,IB,19/08/2021,19/09/2022,396,16.15,5.55
SNM013,M,IB,19/08/2021,19/09/2023,761,18.25,6.375
SNM013,M,IB,19/08/2021,15/03/2024,939,18.15,6.43
SNM014,M,IB,02/12/2021,09/06/2023,554,15.35,5.425
SNM014,M,IB,02/12/2021,11/12/2023,739,17.05,5.985
SNM014,M,IB,02/12/2021,15/03/2024,834,17.7,6.15
SNM015,M,IB,02/12/2021,09/06/2023,554,15.1,5.05
SNM015,M,IB,02/12/2021,11/12/2023,739,16,5.61
SNM015,M,IB,02/12/2021,15/03/2024,834,16.6,5.88
TEM002,M,IB,08/06/2020,25/09/2020,109,13,3.8
TEM002,M,IB,08/06/2020,15/06/2021,372,15.7,5.35
TEM002,M,IB,08/06/2020,08/07/2021,395,15.75,5.4
TEM002,M,IB,08/06/2020,24/12/2021,564,17.4,6.18
TEM002,M,IB,08/06/2020,20/06/2022,742,17.95,6.945
TEM002,M,IB,08/06/2020,15/06/2023,1102,19,7.62
TEM002,M,IB,08/06/2020,19/12/2023,1289,18.65,7.455
TEM003,M,IB,08/06/2020,25/09/2020,109,12.1,3.51
TEM003,M,IB,08/06/2020,15/06/2021,372,15.1,5.085
TEM003,M,IB,08/06/2020,24/12/2021,564,17.2,6.07
TEM003,M,IB,08/06/2020,20/06/2022,742,17.65,6.49
TEM003,M,IB,08/06/2020,15/06/2023,1102,18.5,7.115
TEM003,M,IB,08/06/2020,19/12/2023,1289,18.5,6.955
TEM004,M,IB,04/10/2020,31/12/2020,88,10.95,2.915
TEM004,M,IB,04/10/2020,19/10/2021,380,15.15,5.71
TEM004,M,IB,04/10/2020,19/04/2022,562,17.65,7.06
TEM004,M,IB,04/10/2020,24/04/2023,932,17.75,7.175
TEM004,M,IB,04/10/2020,24/10/2023,1115,17.5,7.46
TEM007,M,IB,25/01/2021,10/02/2022,381,17,5.72
TEM007,M,IB,25/01/2021,04/08/2022,556,18.3,6.27
TEM007,M,IB,25/01/2021,03/03/2023,767,18,6.895
TEM007,M,IB,25/01/2021,13/09/2023,961,18.9,7.015
TEM008,M,IB,25/01/2021,10/02/2022,381,16.15,6.05
TEM008,M,IB,25/01/2021,04/08/2022,556,18,6.75
TEM008,M,IB,25/01/2021,03/03/2023,767,18,6.95
TEM008,M,IB,25/01/2021,13/09/2023,961,18.95,7.25
TEM013,M,IB,18/02/2022,23/03/2023,398,15.75,5.465
TEM013,M,IB,18/02/2022,19/09/2023,578,17,5.65
TLF005,F,IB,30/03/2020,13/07/2020,105,12.1,2.665
TLF005,F,IB,30/03/2020,06/04/2021,372,15,NA
TLF005,F,IB,30/03/2020,25/10/2021,574,16.45,5.835
TLF005,F,IB,30/03/2020,11/04/2022,742,17.1,6.2
TLF005,F,IB,30/03/2020,06/10/2022,920,17.85,6.295
TLF005,F,IB,30/03/2020,22/04/2023,1118,17.025,6.065
TLF005,F,IB,30/03/2020,10/10/2023,1289,16.85,6.125
TLF005,F,IB,30/03/2020,14/03/2024,1445,16.45,5.95
TLF007,F,IB,30/03/2020,13/07/2020,105,11.6,2.84
TLF007,F,IB,30/03/2020,06/04/2021,372,14.85,5.05
TLF007,F,IB,30/03/2020,25/10/2021,574,15.55,5.53
TLF007,F,IB,30/03/2020,11/04/2022,742,16.15,6.01
TLF007,F,IB,30/03/2020,06/10/2022,920,17.45,6.17
TLF007,F,IB,30/03/2020,22/04/2023,1118,17,6.12
TLF007,F,IB,30/03/2020,10/10/2023,1289,17.05,6.565
TLF007,F,IB,30/03/2020,14/03/2024,1445,17,6.355
TLF010,F,IB,06/01/2021,26/01/2022,385,16.2,5.105
TLF010,F,IB,06/01/2021,13/07/2022,553,17.05,5.61
TLF010,F,IB,06/01/2021,11/07/2023,916,17.75,6.15
TLF010,F,IB,06/01/2021,14/03/2024,1163,17.85,6.16
TLF012,F,IB,06/01/2021,26/01/2022,385,16.25,5.605
TLF012,F,IB,06/01/2021,13/07/2022,553,17.4,6.02
TLF012,F,IB,06/01/2021,11/07/2023,916,17.15,6.04
TLF012,F,IB,06/01/2021,14/03/2024,1163,17.1,5.905
TLF013,F,IB,06/01/2021,14/07/2021,189,14.25,4.045
TLF013,F,IB,06/01/2021,26/01/2022,385,16,5.145
TLF013,F,IB,06/01/2021,13/07/2022,553,16.25,5.83
TLF013,F,IB,06/01/2021,11/07/2023,916,16.2,6.03
TLF013,F,IB,06/01/2021,14/03/2024,1163,15.85,5.625
TLF018,F,IB,12/12/2021,19/12/2023,737,16,5.295
TLF018,F,IB,12/12/2021,14/03/2024,823,16.05,5.415
TLF022,F,IB,12/12/2021,14/03/2024,823,13.95,4.875
TLM009,M,IB,06/01/2021,14/07/2021,189,14.9,3.97
TLM009,M,IB,06/01/2021,26/01/2022,385,17.05,5.645
TLM009,M,IB,06/01/2021,13/07/2022,553,18.2,6.38
TLM009,M,IB,06/01/2021,11/07/2023,916,19.15,6.6
TLM009,M,IB,06/01/2021,14/03/2024,1163,18.05,6.5
TLM015,M,IB,20/05/2021,01/06/2022,377,16.55,5.42
TLM015,M,IB,20/05/2021,12/12/2022,571,17.55,6.405
TLM015,M,IB,20/05/2021,26/05/2023,736,17.85,6.29
TLM016,M,IB,20/05/2021,01/06/2022,377,16.2,4.94
TLM016,M,IB,20/05/2021,12/12/2022,571,18.1,5.665
TLM016,M,IB,20/05/2021,26/05/2023,736,16.5,5.905
TLM016,M,IB,20/05/2021,14/03/2024,1029,17.85,6.46
TLM019,M,IB,12/12/2021,21/06/2023,556,15.53,5.605
TLM019,M,IB,12/12/2021,19/12/2023,737,17.3,6.185
TLM019,M,IB,12/12/2021,14/03/2024,823,17.05,6.405
TNF003,F,IB,17/02/2020,28/05/2020,101,11.85,3.355
TNF003,F,IB,17/02/2020,24/02/2021,373,15.45,5.265
TNF003,F,IB,17/02/2020,10/03/2022,752,16.75,6.025
TNF003,F,IB,17/02/2020,19/09/2022,945,17.5,6.19
TNF003,F,IB,17/02/2020,22/03/2023,1129,17.35,5.93
TNF003,F,IB,17/02/2020,15/09/2023,1306,17.2,6.195
TNF003,F,IB,17/02/2020,22/01/2024,1435,17.3,6.145
TNF011,F,IB,13/12/2020,24/06/2021,193,13.5,3.8
TNF011,F,IB,13/12/2020,28/06/2022,562,15.85,5.485
TNF011,F,IB,13/12/2020,21/06/2023,920,16.6,5.625
TNF011,F,IB,13/12/2020,19/12/2023,1101,15.9,5.49
TNF011,F,IB,13/12/2020,22/01/2024,1135,16,5.455
TNF015,F,IB,01/06/2021,21/06/2022,385,15.15,5.655
TNF015,F,IB,01/06/2021,07/06/2023,736,16.75,6.1
TNF015,F,IB,01/06/2021,11/12/2023,923,17,6.35
TNF015,F,IB,01/06/2021,22/01/2024,965,17,6.255
TNF016,F,IB,01/06/2021,21/06/2022,385,12.9,4.23
TNF016,F,IB,01/06/2021,07/06/2023,736,14.5,4.71
TNF016,F,IB,01/06/2021,11/12/2023,923,15.15,4.98
TNF016,F,IB,01/06/2021,22/01/2024,965,15.25,4.85
TNF018,F,IB,01/06/2021,21/06/2022,385,14.65,5.185
TNF018,F,IB,01/06/2021,07/06/2023,736,15.5,5.79
TNF018,F,IB,01/06/2021,11/12/2023,923,16,5.87
TNF018,F,IB,01/06/2021,22/01/2024,965,16.25,5.705
TNM009,M,IB,04/08/2020,13/11/2020,101,11.85,3.615
TNM009,M,IB,04/08/2020,21/02/2022,566,16.9,6.15
TNM009,M,IB,04/08/2020,12/08/2022,738,17.5,6.645
TNM009,M,IB,04/08/2020,15/02/2023,925,18.25,6.565
TNM009,M,IB,04/08/2020,15/08/2023,1106,18.2,6.575
TNM009,M,IB,04/08/2020,22/01/2024,1266,18.45,6.89
TNM012,M,IB,13/12/2020,24/06/2021,193,13.4,3.9
TNM012,M,IB,13/12/2020,24/12/2021,376,16.25,5.5
TNM012,M,IB,13/12/2020,28/06/2022,562,17.55,6.395
TNM012,M,IB,13/12/2020,21/06/2023,920,18,6.635
TNM012,M,IB,13/12/2020,19/12/2023,1101,18.15,6.765
TNM012,M,IB,13/12/2020,22/01/2024,1135,18.05,6.635
TNM017,M,IB,01/06/2021,21/06/2022,385,17.75,6.74
TNM017,M,IB,01/06/2021,07/06/2023,736,18.4,7.335
TNM017,M,IB,01/06/2021,11/12/2023,923,19.75,7.59
TNM017,M,IB,01/06/2021,22/01/2024,965,18.8,7.55
VLF004,F,NB,08/11/2020,20/02/2021,104,11.6,2.915
VLF004,F,NB,08/11/2020,18/11/2021,375,13.5,4.615
VLF004,F,NB,08/11/2020,13/06/2022,582,14.4,4.845
VLF004,F,NB,08/11/2020,18/11/2022,740,15.25,5.025
VLF004,F,NB,08/11/2020,24/05/2023,927,15.45,5.215
VLF004,F,NB,08/11/2020,23/10/2023,1079,15.5,5.305
VLF005,F,NB,08/11/2020,20/02/2021,104,11.4,3.03
VLF005,F,NB,08/11/2020,18/11/2021,375,13.85,4.73
VLF005,F,NB,08/11/2020,13/06/2022,582,15.5,5.39
VLF005,F,NB,08/11/2020,18/11/2022,740,16.15,5.615
VLF005,F,NB,08/11/2020,24/05/2023,927,16,5.67
VLF005,F,NB,08/11/2020,16/11/2023,1103,16.1,5.735
VLF006,F,NB,20/06/2021,29/06/2022,374,14.5,4.985
VLF006,F,NB,20/06/2021,27/06/2023,737,17.1,6.11
VLF006,F,NB,20/06/2021,22/11/2023,885,16.9,6.225
VLF011,F,NB,02/10/2021,24/04/2023,569,16.75,5.54
VLF011,F,NB,02/10/2021,24/10/2023,752,17.85,5.93
VLM001,M,NB,18/05/2020,25/09/2020,130,12.3,3.45
VLM001,M,NB,18/05/2020,25/05/2021,372,15,5.035
VLM001,M,NB,18/05/2020,25/11/2021,556,16.75,5.57
VLM001,M,NB,18/05/2020,13/06/2022,756,17.7,6.3
VLM001,M,NB,18/05/2020,06/12/2022,932,18.2,6.905
VLM001,M,NB,18/05/2020,25/05/2023,1102,18.8,7.085
VLM001,M,NB,18/05/2020,01/12/2023,1292,19.7,7.11
VLM002,M,NB,18/05/2020,25/09/2020,130,12.4,3.42
VLM002,M,NB,18/05/2020,25/05/2021,372,15.45,5.205
VLM002,M,NB,18/05/2020,25/11/2021,556,17.05,6.215
VLM002,M,NB,18/05/2020,13/06/2022,756,18.2,6.77
VLM002,M,NB,18/05/2020,06/12/2022,932,18.65,7.15
VLM002,M,NB,18/05/2020,25/05/2023,1102,19.1,7.625
VLM002,M,NB,18/05/2020,01/12/2023,1292,20.5,7.58
VLM003,M,NB,18/05/2020,25/09/2020,130,13.5,3.66
VLM003,M,NB,18/05/2020,25/05/2021,372,17.35,5.665
VLM003,M,NB,18/05/2020,25/11/2021,556,18.65,6.71
VLM003,M,NB,18/05/2020,13/06/2022,756,19.45,7.075
VLM003,M,NB,18/05/2020,06/12/2022,932,19.8,7.39
VLM003,M,NB,18/05/2020,25/05/2023,1102,19.8,7.41
VLM003,M,NB,18/05/2020,01/12/2023,1292,20.99,7.625
VLM007,M,NB,20/06/2021,29/06/2022,374,14.5,4.855
VLM007,M,NB,20/06/2021,27/06/2023,737,17,5.99
VLM008,M,NB,20/06/2021,29/06/2022,374,14.6,5.23
VLM008,M,NB,20/06/2021,27/06/2023,737,18.1,6.695
VLM012,M,NB,30/01/2022,13/09/2023,591,15.55,5.38
VLM013,M,NB,30/01/2022,13/09/2023,591,14.65,4.875
