AnimalID,LitterRef,Colony,Deathdate,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mat.Litter,Mother,Sur30,GroupSize,Density,DateWeighed,Weight,Wt_Diff
MBM017,849,Marabou,28/12/2022,28/12/2022,M,Outbred,Death,Natural,1,0,3,28/06/2016,2374,8,10,0,14,1.8,30/12/2022,6,2
PIF015,748,Pigeon,27/12/2021,26/12/2021,F,Inbred,Death,Natural,1,0,1,26/03/2016,2101,6,11,0,10,1.3,27/12/2021,10,1
BIM024,962,Bishop,23/01/2024,22/01/2024,M,Inbred,Death,Natural,1,0,3,13/02/2018,2169,9,2,0,15,1.9,23/01/2024,7,1
HCM016,914,Hammercobb,20/08/2023,16/08/2023,M,Outbred,Death,Natural,4,0.1,4,09/01/2018,2045,5,5,0,13,1.6,16/08/2023,6,0
TLF027,897,Tarentaal,15/06/2023,11/06/2023,F,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,8,1
TLM025,897,Tarentaal,15/06/2023,11/06/2023,M,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,6,1
TLM026,897,Tarentaal,15/06/2023,11/06/2023,M,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,8,1
BIM015,845,Bishop,31/12/2022,28/12/2022,M,Inbred,Death,Natural,3,0.1,3,13/02/2018,1779,6,2,0,13,1.6,28/12/2022,9,0
TEM006,618,Tit-Babbler,07/10/2020,04/10/2020,M,Inbred,Death,Natural,3,0.1,3,15/11/2015,1785,2,15,0,4,1,05/10/2020,10,1
MBF002,586,Marabou,13/06/2020,09/06/2020,F,Outbred,Death,Natural,4,0.1,3,28/06/2016,1442,1,10,0,2,0.5,11/06/2020,11,2
BIM019,931,Bishop,11/10/2023,04/10/2023,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,2059,8,2,0,15,1.9,04/10/2023,8,0
BIM020,931,Bishop,11/10/2023,04/10/2023,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,2059,8,2,0,15,1.9,04/10/2023,8,0
VLF030,918,Vulture,29/08/2023,23/08/2023,F,Outbred,Death,Natural,6,0.2,3,16/09/2016,2532,10,16,0,24,1.5,24/08/2023,9,1
VLM029,918,Vulture,29/08/2023,23/08/2023,M,Outbred,Death,Natural,6,0.2,3,16/09/2016,2532,10,16,0,24,1.5,24/08/2023,9,1
KSM032,907,Kapantsi,06/08/2023,01/08/2023,M,Outbred,Death,Natural,6,0.2,3,11/08/2016,2546,9,8,0,21,1.3,02/08/2023,8,1
KSF030,907,Kapantsi,06/08/2023,01/08/2023,F,Outbred,Death,Natural,5,0.2,3,11/08/2016,2546,9,8,0,21,1.3,02/08/2023,9,1
BIF014,845,Bishop,02/01/2023,28/12/2022,F,Inbred,Death,Natural,5,0.2,3,13/02/2018,1779,6,2,0,13,1.6,28/12/2022,9,0
BIM010,809,Bishop,14/09/2022,07/09/2022,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,1667,5,2,0,13,1.6,08/09/2022,8,1
BIM012,809,Bishop,12/09/2022,07/09/2022,M,Inbred,Death,Natural,5,0.2,3,13/02/2018,1667,5,2,0,13,1.6,12/09/2022,7,5
GEF004,782,Geelvink,28/05/2022,21/05/2022,F,Outbred,Death,Natural,7,0.2,3,14/06/2014,2898,2,4,0,4,1,21/05/2022,11,0
TLF006,574,Tarentaal,04/04/2020,30/03/2020,F,Inbred,Death,Natural,5,0.2,5,27/01/2016,1524,2,13,0,2,0.5,31/03/2020,8,1
GEM011,854,Geelvink,NA,09/01/2023,M,Outbred,Death,Natural,9,0.3,5,14/06/2014,3131,3,4,0,6,0.75,10/01/2023,8,1
BIF011,809,Bishop,15/09/2022,07/09/2022,F,Inbred,Death,Natural,8,0.3,3,13/02/2018,1667,5,2,0,13,1.6,08/09/2022,10,1
KBM012,741,Kori,NA,12/12/2021,M,Outbred,StatusChange,Removal,10,0.3,3,03/03/2017,1745,4,9,1,9,1.1,15/12/2021,14,3
KBM013,741,Kori,NA,12/12/2021,M,Outbred,StatusChange,Removal,10,0.3,3,03/03/2017,1745,4,9,1,9,1.1,15/12/2021,13,3
KBM014,741,Kori,NA,12/12/2021,M,Outbred,StatusChange,Removal,10,0.3,3,03/03/2017,1745,4,9,1,9,1.1,15/12/2021,14,3
TEF011,718,Tit-Babbler,11/09/2021,01/09/2021,F,Inbred,Death,Natural,10,0.3,3,15/11/2015,2086,5,15,0,7,0.9,03/09/2021,9,2
TEF012,718,Tit-Babbler,11/09/2021,01/09/2021,F,Inbred,Death,Natural,10,0.3,3,15/11/2015,2086,5,15,0,7,0.9,03/09/2021,7,2
TEM010,718,Tit-Babbler,11/09/2021,01/09/2021,M,Inbred,Death,Natural,10,0.3,3,15/11/2015,2086,5,15,0,7,0.9,03/09/2021,6,2
PIM007,663,Pigeon,06/02/2021,27/01/2021,M,Inbred,Death,Natural,10,0.3,4,26/03/2016,1768,3,11,0,5,1.3,28/01/2021,11,1
TLM004,574,Tarentaal,09/04/2020,30/03/2020,M,Inbred,Death,Natural,10,0.3,5,27/01/2016,1524,2,13,0,2,0.5,31/03/2020,10,1
TNF006,560,Tinktinkie,27/02/2020,17/02/2020,F,Inbred,Death,Natural,10,0.3,6,05/10/2017,865,1,14,0,2,0.5,22/02/2020,10,5
TNM002,560,Tinktinkie,27/02/2020,17/02/2020,M,Inbred,Death,Natural,10,0.3,6,05/10/2017,865,1,14,0,2,0.5,22/02/2020,7,5
TNM004,560,Tinktinkie,27/02/2020,17/02/2020,M,Inbred,Death,Natural,10,0.3,6,05/10/2017,865,1,14,0,2,0.5,22/02/2020,6,5
TNM005,560,Tinktinkie,27/02/2020,17/02/2020,M,Inbred,Death,Natural,10,0.3,6,05/10/2017,865,1,14,0,2,0.5,22/02/2020,6,5
VLF021,851,Vulture,14/01/2023,01/01/2023,F,Outbred,Death,Natural,13,0.4,4,16/09/2016,2298,8,16,0,19,1.2,02/01/2023,10,1
MBF018,849,Marabou,24/10/2023,28/12/2022,F,Outbred,StatusChange,Removal,13,0.4,3,28/06/2016,2374,8,10,1,14,1.8,30/12/2022,10,2
MBF019,849,Marabou,18/05/2023,28/12/2022,F,Outbred,StatusChange,Removal,13,0.4,3,28/06/2016,2374,8,10,1,14,1.8,30/12/2022,11,2
TEM015,820,Tit-Babbler,08/10/2022,26/09/2022,M,Inbred,Death,Natural,12,0.4,1,15/11/2015,2507,7,15,0,9,1.1,26/09/2022,11,0
KSM018,789,Kapantsi,11/06/2022,30/05/2022,M,Outbred,Death,Natural,12,0.4,4,11/08/2016,2118,6,8,0,12,1.5,30/05/2022,7,0
PIM016,772,Pigeon,19/04/2022,08/04/2022,M,Inbred,Death,Natural,11,0.4,5,26/03/2016,2204,7,11,0,10,1.3,09/04/2022,7,1
TLF020,740,Tarentaal,24/12/2021,12/12/2021,F,Inbred,Death,Natural,12,0.4,5,27/01/2016,2146,5,13,0,10,1.3,15/12/2021,6,3
PIF018,772,Pigeon,23/04/2022,08/04/2022,F,Inbred,Death,Natural,15,0.5,5,26/03/2016,2204,7,11,0,10,1.3,09/04/2022,6,1
PIF020,772,Pigeon,23/04/2022,08/04/2022,F,Inbred,Death,Natural,15,0.5,5,26/03/2016,2204,7,11,0,10,1.3,09/04/2022,7,1
TLF014,691,Tarentaal,05/06/2021,20/05/2021,F,Inbred,Death,Natural,16,0.5,4,27/01/2016,1940,4,13,0,8,1,20/05/2021,7,0
KSM031,907,Kapantsi,06/08/2023,01/08/2023,M,Outbred,Death,Natural,17,0.6,3,11/08/2016,2546,9,8,0,21,1.3,02/08/2023,8,1
PIF011,689,Pigeon,04/06/2021,16/05/2021,F,Inbred,Death,Natural,19,0.6,3,26/03/2016,1877,4,11,0,7,0.9,17/05/2021,9,1
PIM008,663,Pigeon,13/02/2021,27/01/2021,M,Inbred,Death,Natural,17,0.6,4,26/03/2016,1768,3,11,0,5,1.3,28/01/2021,10,1
SNM005,660,Sneeubal,13/02/2021,25/01/2021,M,Inbred,Death,Natural,19,0.6,4,15/11/2015,1898,2,12,0,5,1.3,26/01/2021,7,1
BIF023,962,Bishop,10/02/2024,22/01/2024,F,Inbred,Death,Natural,19,0.6,3,13/02/2018,2169,9,2,0,15,1.9,23/01/2024,8,1
BIM022,962,Bishop,10/02/2024,22/01/2024,M,Inbred,Death,Natural,19,0.6,3,13/02/2018,2169,9,2,0,15,1.9,23/01/2024,7,1
SNM004,660,Sneeubal,15/02/2021,25/01/2021,M,Inbred,Death,Natural,21,0.7,4,15/11/2015,1898,2,12,0,5,1.3,26/01/2021,7,1
TEM005,618,Tit-Babbler,29/10/2020,04/10/2020,M,Inbred,Death,Artificial,25,0.8,3,15/11/2015,1785,2,15,NA,4,1,05/10/2020,10,1
TNM007,599,Tinktinkie,28/08/2020,04/08/2020,M,Inbred,Death,Natural,24,0.8,3,05/10/2017,1034,2,14,0,3,0.8,05/08/2020,10,1
PIM029,963,Pigeon,17/02/2024,22/01/2024,M,Inbred,Death,Natural,26,0.9,4,26/03/2016,2858,11,11,0,17,2.1,23/01/2024,9,1
VLM028,918,Vulture,20/09/2023,23/08/2023,M,Outbred,Death,Natural,28,0.9,3,16/09/2016,2532,10,16,0,24,1.5,24/08/2023,9,1
VLF012,723,Vulture,29/10/2021,02/10/2021,F,Outbred,Death,Natural,27,0.9,4,16/09/2016,1842,4,16,0,10,1.3,06/10/2021,10,4
TNF008,599,Tinktinkie,01/09/2020,04/08/2020,F,Inbred,Death,Natural,28,0.9,3,05/10/2017,1034,2,14,0,3,0.8,05/08/2020,6,1
SNM039,959,Sneeubal,10/02/2024,12/01/2024,M,Inbred,Death,Natural,29,1,4,15/11/2015,2980,12,12,0,26,1.6,12/01/2024,5,0
TLF030,942,Tarentaal,02/12/2023,01/11/2023,F,Inbred,Death,Natural,31,1,5,27/01/2016,2835,8,13,0,14,1.8,02/11/2023,6,1
TLF032,942,Tarentaal,02/12/2023,01/11/2023,F,Inbred,Death,Natural,31,1,5,27/01/2016,2835,8,13,0,14,1.8,02/11/2023,6,1
TLM021,740,Tarentaal,11/01/2022,12/12/2021,M,Inbred,Death,Natural,30,1,5,27/01/2016,2146,5,13,0,10,1.3,15/12/2021,12,3
SNF006,660,Sneeubal,25/02/2021,25/01/2021,F,Inbred,Death,Artificial,31,1,4,15/11/2015,1898,2,12,1,5,1.3,26/01/2021,8,1
TEF014,763,Tit-Babbler,24/03/2022,18/02/2022,F,Inbred,Death,Natural,34,1.1,2,15/11/2015,2287,6,15,1,7,0.9,22/02/2022,10,4
SNM037,959,Sneeubal,17/02/2024,12/01/2024,M,Inbred,Death,Natural,36,1.2,4,15/11/2015,2980,12,12,1,26,1.6,12/01/2024,9,0
VLM020,851,Vulture,06/02/2023,01/01/2023,M,Outbred,Death,Natural,36,1.2,4,16/09/2016,2298,8,16,1,19,1.2,02/01/2023,9,1
PIF028,963,Pigeon,NA,22/01/2024,F,Inbred,NA,NA,39,1.3,4,26/03/2016,2858,11,11,1,17,2.1,23/01/2024,9,1
PIM026,963,Pigeon,NA,22/01/2024,M,Inbred,NA,NA,39,1.3,4,26/03/2016,2858,11,11,1,17,2.1,23/01/2024,9,1
TLM031,942,Tarentaal,11/12/2023,01/11/2023,M,Inbred,Death,Natural,40,1.3,5,27/01/2016,2835,8,13,0,14,1.8,02/11/2023,10,1
GEF016,951,Geelvink,NA,11/12/2023,F,Outbred,Death,Natural,43,1.4,4,14/06/2014,3467,7,4,0,11,1.38,11/12/2023,8,0
TEM021,960,Tit-Babbler,NA,16/01/2024,M,Inbred,NA,NA,45,1.5,1,15/11/2015,2984,10,15,1,13,1.6,16/01/2024,10,0
KSM011,704,Kapantsi,24/08/2021,11/07/2021,M,Outbred,Death,Natural,44,1.5,3,11/08/2016,1795,4,8,1,5,0.6,12/07/2021,12,1
TLM017,691,Tarentaal,07/07/2021,20/05/2021,M,Inbred,Death,Natural,48,1.6,4,27/01/2016,1940,4,13,1,8,1,20/05/2021,8,0
SNF038,959,Sneeubal,NA,12/01/2024,F,Inbred,NA,NA,49,1.6,4,15/11/2015,2980,12,12,1,26,1.6,12/01/2024,8,0
SNM036,959,Sneeubal,NA,12/01/2024,M,Inbred,NA,NA,49,1.6,4,15/11/2015,2980,12,12,1,26,1.6,12/01/2024,8,0
KSM019,789,Kapantsi,20/07/2022,30/05/2022,M,Outbred,Death,Artificial,51,1.7,4,11/08/2016,2118,6,8,1,12,1.5,30/05/2022,8,0
MBM001,586,Marabou,31/07/2020,09/06/2020,M,Outbred,Death,Artificial,52,1.7,3,28/06/2016,1442,1,10,1,2,0.5,11/06/2020,10,2
TNF010,648,Tinktinkie,06/02/2021,13/12/2020,F,Inbred,Death,Natural,55,1.8,4,05/10/2017,1165,3,14,1,4,1,15/12/2020,7,2
TNM013,648,Tinktinkie,05/02/2021,13/12/2020,M,Inbred,Death,Natural,54,1.8,4,05/10/2017,1165,3,14,1,4,1,15/12/2020,9,2
SNM027,834,Sneeubal,NA,17/11/2022,M,Inbred,Death,Artificial,58,1.9,4,15/11/2015,2559,8,12,1,17,1.1,18/11/2022,7,1
KSF007,673,Kapantsi,05/05/2021,02/03/2021,F,Outbred,Death,Natural,64,2.1,3,11/08/2016,1664,3,8,1,5,1.3,02/03/2021,10,0
BAF003,573,Bateleur,02/06/2020,30/03/2020,F,Inbred,Death,Natural,64,2.1,3,28/04/2017,1067,1,1,1,2,0.5,31/03/2020,9,1
BAM002,573,Bateleur,02/06/2020,30/03/2020,M,Inbred,Death,Artificial,64,2.1,3,28/04/2017,1067,1,1,1,2,0.5,31/03/2020,10,1
TLM011,654,Tarentaal,19/03/2021,06/01/2021,M,Inbred,Death,Natural,72,2.4,5,27/01/2016,1806,3,13,1,4,1,07/01/2021,9,1
TEM020,911,Tit-Babbler,24/10/2023,08/08/2023,M,Inbred,Death,Natural,77,2.5,3,15/11/2015,2823,9,15,1,11,1.4,09/08/2023,9,1
GEF014,951,Geelvink,NA,11/12/2023,F,Outbred,NA,NA,81,2.7,4,14/06/2014,3467,7,4,1,11,1.38,11/12/2023,10,0
GEF015,951,Geelvink,NA,11/12/2023,F,Outbred,NA,NA,81,2.7,4,14/06/2014,3467,7,4,1,11,1.38,11/12/2023,10,0
GEM013,951,Geelvink,NA,11/12/2023,M,Outbred,NA,NA,81,2.7,4,14/06/2014,3467,7,4,1,11,1.38,11/12/2023,9,0
BIF013,845,Bishop,21/03/2023,28/12/2022,F,Inbred,Death,Natural,83,2.7,3,13/02/2018,1779,6,2,1,13,1.6,28/12/2022,10,0
VLF031,949,Vulture,NA,05/12/2023,F,Outbred,NA,NA,87,2.9,3,16/09/2016,2636,11,16,1,23,1.4,05/12/2023,11,0
VLF032,949,Vulture,NA,05/12/2023,F,Outbred,NA,NA,87,2.9,3,16/09/2016,2636,11,16,1,23,1.4,05/12/2023,10,0
VLF033,949,Vulture,NA,05/12/2023,F,Outbred,NA,NA,87,2.9,3,16/09/2016,2636,11,16,1,23,1.4,05/12/2023,10,0
BIM003,665,Bishop,10/05/2021,11/02/2021,M,Inbred,Death,Artificial,88,2.9,3,13/02/2018,1094,2,2,1,3,0.8,12/02/2021,9,1
TLM008,574,Tarentaal,28/06/2020,30/03/2020,M,Inbred,Death,Natural,90,3,5,27/01/2016,1524,2,13,1,2,0.5,31/03/2020,9,1
PIF009,689,Pigeon,17/08/2021,16/05/2021,F,Inbred,Death,Artificial,93,3.1,3,26/03/2016,1877,4,11,1,7,0.9,17/05/2021,9,1
GEF002,563,Geelvink,02/06/2020,23/02/2020,F,Outbred,Death,Natural,100,3.3,3,14/06/2014,2080,1,4,1,2,0.5,25/02/2020,8,2
TNF001,560,Tinktinkie,27/05/2020,17/02/2020,F,Inbred,Death,Natural,100,3.3,6,05/10/2017,865,1,14,1,2,0.5,22/02/2020,11,5
KBM001,557,Kori,03/06/2020,14/02/2020,M,Outbred,Death,Natural,110,3.6,4,03/03/2017,1078,1,9,1,2,0.5,16/02/2020,11,2
KSF033,944,Kapantsi,NA,12/11/2023,F,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,8,0
KSF034,944,Kapantsi,NA,12/11/2023,F,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,7,0
KSF037,944,Kapantsi,NA,12/11/2023,F,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,8,0
KSF038,944,Kapantsi,NA,12/11/2023,F,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,7,0
KSM035,944,Kapantsi,NA,12/11/2023,M,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,8,0
KSM036,944,Kapantsi,NA,12/11/2023,M,Outbred,NA,NA,110,3.6,6,11/08/2016,2649,10,8,1,20,1.3,12/11/2023,8,0
TLM028,942,Tarentaal,21/02/2024,01/11/2023,M,Inbred,Death,Natural,112,3.7,5,27/01/2016,2835,8,13,1,14,1.8,02/11/2023,7,1
SNM031,901,Sneeubal,14/10/2023,20/06/2023,M,Inbred,Death,Natural,116,3.8,1,15/11/2015,2774,10,12,1,22,1.4,21/06/2023,8,1
SNF034,930,Sneeubal,23/01/2024,29/09/2023,F,Inbred,Death,Natural,116,3.8,4,15/11/2015,2875,11,12,1,23,1.4,29/09/2023,6,0
HOM005,902,Hoopoe,19/10/2023,23/06/2023,M,Inbred,Death,Artificial,118,3.9,2,24/02/2017,2310,4,6,1,2,0.5,23/06/2023,8,0
HOM006,902,Hoopoe,19/10/2023,23/06/2023,M,Inbred,Death,Artificial,118,3.9,2,24/02/2017,2310,4,6,1,2,0.5,23/06/2023,7,0
TLF029,942,Tarentaal,NA,01/11/2023,F,Inbred,NA,NA,121,4,5,27/01/2016,2835,8,13,1,14,1.8,02/11/2023,9,1
KSF013,752,Kapantsi,02/06/2022,28/01/2022,F,Outbred,Death,Natural,125,4.1,5,11/08/2016,1996,5,8,1,7,0.9,28/01/2022,10,0
JSF006,697,Jackass,NA,01/06/2021,F,Outbred,StatusChange,Export,125,4.1,2,20/02/2018,1197,3,7,1,7,0.9,02/06/2021,13,1
JSM007,697,Jackass,NA,01/06/2021,M,Outbred,StatusChange,Export,125,4.1,2,20/02/2018,1197,3,7,1,7,0.9,02/06/2021,12,1
SNM022,799,Sneeubal,30/11/2022,13/07/2022,M,Inbred,Death,Artificial,140,4.6,4,15/11/2015,2432,7,12,1,13,1.6,14/07/2022,8,1
KBM007,609,Kori,26/01/2021,28/08/2020,M,Outbred,Death,Natural,151,5,3,03/03/2017,1274,2,9,1,3,0.8,31/08/2020,10,3
SNF032,930,Sneeubal,NA,29/09/2023,F,Inbred,NA,NA,154,5.1,4,15/11/2015,2875,11,12,1,23,1.4,29/09/2023,7,0
SNF033,930,Sneeubal,NA,29/09/2023,F,Inbred,NA,NA,154,5.1,4,15/11/2015,2875,11,12,1,23,1.4,29/09/2023,7,0
SNM035,930,Sneeubal,NA,29/09/2023,M,Inbred,NA,NA,154,5.1,4,15/11/2015,2875,11,12,1,23,1.4,29/09/2023,6,0
BKF007,685,Bokmakerie,NA,27/04/2021,F,Outbred,StatusChange,Export,160,5.3,2,09/06/2015,2149,3,3,1,8,1,28/04/2021,9,1
BKM008,685,Bokmakerie,NA,27/04/2021,M,Outbred,StatusChange,Export,160,5.3,2,09/06/2015,2149,3,3,1,8,1,28/04/2021,9,1
HCF014,914,Hammercobb,NA,16/08/2023,F,Outbred,Death,Natural,163,5.4,4,09/01/2018,2045,5,5,1,13,1.6,16/08/2023,9,0
VLM010,723,Vulture,14/03/2022,02/10/2021,M,Outbred,Death,Natural,163,5.4,4,16/09/2016,1842,4,16,1,10,1.3,06/10/2021,12,4
KBF003,557,Kori,28/07/2020,14/02/2020,F,Outbred,Death,Immigration,165,5.5,4,03/03/2017,1078,1,9,1,2,0.5,16/02/2020,9,2
HCM007,756,Hammercobb,27/07/2022,01/02/2022,M,Outbred,Death,Artificial,176,5.8,4,09/01/2018,1484,2,5,1,5,0.6,03/02/2022,9,2
PIF002,593,Pigeon,27/12/2020,28/06/2020,F,Inbred,Death,Natural,182,6,2,26/03/2016,1555,1,11,1,2,0.5,29/06/2020,12,1
GEM012,919,Geelvink,NA,24/08/2023,M,Outbred,NA,NA,190,6.3,1,14/06/2014,3358,6,4,1,10,1.25,26/08/2023,11,2
HCF013,914,Hammercobb,NA,16/08/2023,F,Outbred,NA,NA,198,6.5,4,09/01/2018,2045,5,5,1,13,1.6,16/08/2023,8,0
HCF015,914,Hammercobb,NA,16/08/2023,F,Outbred,NA,NA,198,6.5,4,09/01/2018,2045,5,5,1,13,1.6,16/08/2023,7,0
VLF009,723,Vulture,21/04/2022,02/10/2021,F,Outbred,Death,Artificial,201,6.6,4,16/09/2016,1842,4,16,1,10,1.3,06/10/2021,10,4
TLM023,792,Tarentaal,04/01/2023,13/06/2022,M,Inbred,Death,Artificial,205,6.8,1,27/01/2016,2329,6,13,1,13,1.6,14/06/2022,13,1
TEF018,911,Tit-Babbler,NA,08/08/2023,F,Inbred,NA,NA,206,6.8,3,15/11/2015,2823,9,15,1,11,1.4,09/08/2023,8,1
TEF019,911,Tit-Babbler,NA,08/08/2023,F,Inbred,NA,NA,206,6.8,3,15/11/2015,2823,9,15,1,11,1.4,09/08/2023,8,1
PIM021,826,Pigeon,04/06/2023,06/10/2022,M,Inbred,Death,Artificial,241,8,1,26/03/2016,2385,8,11,1,14,1.8,06/10/2022,12,0
PIM022,857,Pigeon,NA,14/01/2023,M,Inbred,Death,Artificial,245,8.1,2,26/03/2016,2485,9,11,1,15,1.9,15/01/2023,10,1
SNM011,713,Sneeubal,04/05/2022,19/08/2021,M,Inbred,Death,Artificial,258,8.5,3,15/11/2015,2104,4,12,1,5,0.6,19/08/2021,9,0
PIM005,663,Pigeon,13/10/2021,27/01/2021,M,Inbred,Death,Artificial,259,8.6,4,26/03/2016,1768,3,11,1,5,1.3,28/01/2021,8,1
TLF024,897,Tarentaal,NA,11/06/2023,F,Inbred,NA,NA,264,8.7,4,27/01/2016,2692,7,13,1,13,1.6,12/06/2023,8,1
BKF004,653,Bokmakerie,NA,04/01/2021,F,Outbred,StatusChange,Export,273,9,4,09/06/2015,2036,2,3,1,4,1,04/01/2021,7,0
BKM003,653,Bokmakerie,NA,04/01/2021,M,Outbred,StatusChange,Export,273,9,4,09/06/2015,2036,2,3,1,4,1,04/01/2021,8,0
BKM005,653,Bokmakerie,NA,04/01/2021,M,Outbred,StatusChange,Export,273,9,4,09/06/2015,2036,2,3,1,4,1,04/01/2021,8,0
