AnimalID,LitterRef,Colony,Deathdate,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mat.Litter,Mother,Sur30,GroupSize,Density,DateWeighed,Weight,Wt_Diff
BKM006,653,Bokmakerie,NA,04/01/2021,M,Outbred,StatusChange,Export,273,9,4,09/06/2015,2036,2,3,1,4,1,04/01/2021,9,0
PIF024,887,Pigeon,NA,03/05/2023,F,Inbred,NA,NA,303,10,2,26/03/2016,2594,10,11,1,17,2.1,04/05/2023,8,1
PIM025,887,Pigeon,NA,03/05/2023,M,Inbred,NA,NA,303,10,2,26/03/2016,2594,10,11,1,17,2.1,04/05/2023,12,1
VLF027,882,Vulture,NA,18/04/2023,F,Outbred,NA,NA,318,10.5,4,16/09/2016,2405,9,16,1,21,1.3,19/04/2023,8,1
VLM024,882,Vulture,NA,18/04/2023,M,Outbred,NA,NA,318,10.5,4,16/09/2016,2405,9,16,1,21,1.3,19/04/2023,10,1
VLM025,882,Vulture,NA,18/04/2023,M,Outbred,NA,NA,318,10.5,4,16/09/2016,2405,9,16,1,21,1.3,19/04/2023,10,1
VLM026,882,Vulture,NA,18/04/2023,M,Outbred,NA,NA,318,10.5,4,16/09/2016,2405,9,16,1,21,1.3,19/04/2023,8,1
BIF016,880,Bishop,NA,17/04/2023,F,Inbred,NA,NA,319,10.5,3,13/02/2018,1889,7,2,1,12,1.5,19/04/2023,8,2
BIF017,880,Bishop,NA,17/04/2023,F,Inbred,NA,NA,319,10.5,3,13/02/2018,1889,7,2,1,12,1.5,19/04/2023,10,2
BIF018,880,Bishop,NA,17/04/2023,F,Inbred,NA,NA,319,10.5,3,13/02/2018,1889,7,2,1,12,1.5,19/04/2023,8,2
JSF005,633,Jackass,NA,11/11/2020,F,Outbred,StatusChange,Export,327,10.8,1,20/02/2018,995,2,7,1,6,1.5,12/11/2020,11,1
KSF029,876,Kapantsi,NA,17/03/2023,F,Outbred,NA,NA,350,11.6,4,11/08/2016,2409,8,8,1,18,1.1,18/03/2023,11,1
KSM026,876,Kapantsi,NA,17/03/2023,M,Outbred,NA,NA,350,11.6,4,11/08/2016,2409,8,8,1,18,1.1,18/03/2023,9,1
KSM027,876,Kapantsi,NA,17/03/2023,M,Outbred,NA,NA,350,11.6,4,11/08/2016,2409,8,8,1,18,1.1,18/03/2023,8,1
KSM028,876,Kapantsi,NA,17/03/2023,M,Outbred,NA,NA,350,11.6,4,11/08/2016,2409,8,8,1,18,1.1,18/03/2023,10,1
KSF023,831,Kapantsi,15/10/2023,25/10/2022,F,Outbred,Death,Natural,355,11.7,5,11/08/2016,2266,7,8,1,13,1.6,26/10/2022,8,1
PIM023,857,Pigeon,NA,14/01/2023,M,Inbred,NA,NA,412,13.6,2,26/03/2016,2485,9,11,1,15,1.9,15/01/2023,11,1
GEF008,854,Geelvink,NA,09/01/2023,F,Outbred,NA,NA,417,13.8,5,14/06/2014,3131,3,4,1,6,0.8,10/01/2023,8,1
GEF009,854,Geelvink,NA,09/01/2023,F,Outbred,NA,NA,417,13.8,5,14/06/2014,3131,3,4,1,6,0.8,10/01/2023,8,1
GEM007,854,Geelvink,NA,09/01/2023,M,Outbred,NA,NA,417,13.8,5,14/06/2014,3131,3,4,1,6,0.75,10/01/2023,9,1
GEM010,854,Geelvink,NA,09/01/2023,M,Outbred,NA,NA,417,13.8,5,14/06/2014,3131,3,4,1,6,0.75,10/01/2023,8,1
TEM016,853,Tit-Babbler,NA,08/01/2023,M,Inbred,NA,NA,418,13.8,2,15/11/2015,2611,8,15,1,8,1,09/01/2023,10,1
TEM017,853,Tit-Babbler,NA,08/01/2023,M,Inbred,NA,NA,418,13.8,2,15/11/2015,2611,8,15,1,8,1,09/01/2023,11,1
VLF022,851,Vulture,NA,01/01/2023,F,Outbred,NA,NA,425,14,4,16/09/2016,2298,8,16,1,19,1.2,02/01/2023,9,1
VLF023,851,Vulture,NA,01/01/2023,F,Outbred,NA,NA,425,14,4,16/09/2016,2298,8,16,1,19,1.2,02/01/2023,8,1
MBM014,806,Marabou,NA,15/08/2022,M,Outbred,Death,Artificial,430,14.2,3,28/06/2016,2239,7,10,1,12,1.5,16/08/2022,8,1
MBM015,806,Marabou,NA,15/08/2022,M,Outbred,Death,Artificial,430,14.2,3,28/06/2016,2239,7,10,1,12,1.5,16/08/2022,10,1
MBM016,806,Marabou,NA,15/08/2022,M,Outbred,Death,Artificial,430,14.2,3,28/06/2016,2239,7,10,1,12,1.5,16/08/2022,11,1
SNF024,834,Sneeubal,NA,17/11/2022,F,Inbred,NA,NA,470,15.5,4,15/11/2015,2559,8,12,1,17,1.1,18/11/2022,8,1
SNM025,834,Sneeubal,NA,17/11/2022,M,Inbred,NA,NA,470,15.5,4,15/11/2015,2559,8,12,1,17,1.1,18/11/2022,7,1
SNM026,834,Sneeubal,NA,17/11/2022,M,Inbred,NA,NA,470,15.5,4,15/11/2015,2559,8,12,1,17,1.1,18/11/2022,9,1
HCF011,827,Hammercobb,31/01/2024,08/10/2022,F,Outbred,Death,Artificial,480,15.9,4,09/01/2018,1733,4,5,1,9,1.1,09/10/2022,8,1
KSF022,831,Kapantsi,NA,25/10/2022,F,Outbred,NA,NA,493,16.3,5,11/08/2016,2266,7,8,1,13,1.6,26/10/2022,9,1
KSF024,831,Kapantsi,NA,25/10/2022,F,Outbred,NA,NA,493,16.3,5,11/08/2016,2266,7,8,1,13,1.6,26/10/2022,9,1
KSM021,831,Kapantsi,NA,25/10/2022,M,Outbred,NA,NA,493,16.3,5,11/08/2016,2266,7,8,1,13,1.6,26/10/2022,9,1
KSM025,831,Kapantsi,NA,25/10/2022,M,Outbred,NA,NA,493,16.3,5,11/08/2016,2266,7,8,1,13,1.6,26/10/2022,9,1
KBF006,609,Kori,NA,28/08/2020,F,Outbred,StatusChange,Removal,508,16.8,3,03/03/2017,1274,2,9,1,3,0.8,31/08/2020,12,3
JSF002,582,Jackass,NA,13/05/2020,F,Outbred,StatusChange,Export,509,16.8,4,20/02/2018,813,1,7,1,2,0.5,14/05/2020,10,1
JSF003,582,Jackass,NA,13/05/2020,F,Outbred,StatusChange,Export,509,16.8,4,20/02/2018,813,1,7,1,2,0.5,14/05/2020,11,1
JSM001,582,Jackass,NA,13/05/2020,M,Outbred,StatusChange,Export,509,16.8,4,20/02/2018,813,1,7,1,2,0.5,14/05/2020,9,1
JSM004,582,Jackass,NA,13/05/2020,M,Outbred,StatusChange,Export,509,16.8,4,20/02/2018,813,1,7,1,2,0.5,14/05/2020,8,1
HCF010,827,Hammercobb,NA,08/10/2022,F,Outbred,NA,NA,510,16.9,4,09/01/2018,1733,4,5,1,9,1.1,09/10/2022,9,1
HCM009,827,Hammercobb,NA,08/10/2022,M,Outbred,NA,NA,510,16.9,4,09/01/2018,1733,4,5,1,9,1.1,09/10/2022,8,1
HCM012,827,Hammercobb,NA,08/10/2022,M,Outbred,NA,NA,510,16.9,4,09/01/2018,1733,4,5,1,9,1.1,09/10/2022,8,1
VLF018,819,Vulture,NA,23/09/2022,F,Outbred,NA,NA,525,17.4,3,16/09/2016,2198,7,16,1,16,1,24/09/2022,9,1
VLF019,819,Vulture,NA,23/09/2022,F,Outbred,NA,NA,525,17.4,3,16/09/2016,2198,7,16,1,16,1,24/09/2022,10,1
VLM017,819,Vulture,NA,23/09/2022,M,Outbred,NA,NA,525,17.4,3,16/09/2016,2198,7,16,1,16,1,24/09/2022,8,1
KSF015,752,Kapantsi,21/07/2023,28/01/2022,F,Outbred,Death,Natural,539,17.8,5,11/08/2016,1996,5,8,1,7,0.9,28/01/2022,9,0
BKF002,575,Bokmakerie,NA,30/03/2020,F,Outbred,StatusChange,Export,553,18.3,2,09/06/2015,1756,1,3,1,2,0.5,31/03/2020,11,1
BKM001,575,Bokmakerie,NA,30/03/2020,M,Outbred,StatusChange,Export,553,18.3,2,09/06/2015,1756,1,3,1,2,0.5,31/03/2020,10,1
SNF020,799,Sneeubal,NA,13/07/2022,F,Inbred,NA,NA,597,19.7,4,15/11/2015,2432,7,12,1,13,1.6,14/07/2022,8,1
SNF023,799,Sneeubal,NA,13/07/2022,F,Inbred,NA,NA,597,19.7,4,15/11/2015,2432,7,12,1,13,1.6,14/07/2022,7,1
SNM021,799,Sneeubal,NA,13/07/2022,M,Inbred,NA,NA,597,19.7,4,15/11/2015,2432,7,12,1,13,1.6,14/07/2022,7,1
HCM008,794,Hammercobb,NA,23/06/2022,M,Outbred,NA,NA,617,20.4,1,09/01/2018,1626,3,5,1,9,1.1,24/06/2022,9,1
KSF020,789,Kapantsi,NA,30/05/2022,F,Outbred,NA,NA,641,21.2,4,11/08/2016,2118,6,8,1,12,1.5,30/05/2022,9,0
KSM017,789,Kapantsi,NA,30/05/2022,M,Outbred,NA,NA,641,21.2,4,11/08/2016,2118,6,8,1,12,1.5,30/05/2022,10,0
GEF005,782,Geelvink,NA,21/05/2022,F,Outbred,NA,NA,650,21.5,3,14/06/2014,2898,2,4,1,4,1,21/05/2022,9,0
GEF006,782,Geelvink,NA,21/05/2022,F,Outbred,NA,NA,650,21.5,3,14/06/2014,2898,2,4,1,4,1,21/05/2022,11,0
VLF015,779,Vulture,NA,14/05/2022,F,Outbred,NA,NA,657,21.7,3,16/09/2016,2066,6,16,1,13,1.6,14/05/2022,9,0
VLM014,779,Vulture,NA,14/05/2022,M,Outbred,NA,NA,657,21.7,3,16/09/2016,2066,6,16,1,13,1.6,14/05/2022,11,0
VLM016,779,Vulture,NA,14/05/2022,M,Outbred,NA,NA,657,21.7,3,16/09/2016,2066,6,16,1,13,1.6,14/05/2022,11,0
MBF010,739,Marabou,NA,07/12/2021,F,Outbred,Death,Artificial,681,22.5,2,28/06/2016,1988,5,10,1,9,1.1,08/12/2021,13,1
MBM011,739,Marabou,NA,07/12/2021,M,Outbred,Death,Artificial,681,22.5,2,28/06/2016,1988,5,10,1,9,1.1,08/12/2021,12,1
MBF006,679,Marabou,NA,19/03/2021,F,Outbred,StatusChange,Removal,686,22.7,2,28/06/2016,1725,3,10,1,5,1.3,20/03/2021,12,1
PIM017,772,Pigeon,NA,08/04/2022,M,Inbred,NA,NA,693,22.9,5,26/03/2016,2204,7,11,1,10,1.3,09/04/2022,8,1
PIM019,772,Pigeon,NA,08/04/2022,M,Inbred,NA,NA,693,22.9,5,26/03/2016,2204,7,11,1,10,1.3,09/04/2022,7,1
BIF007,764,Bishop,NA,02/03/2022,F,Inbred,NA,NA,730,24.1,3,13/02/2018,1478,4,2,1,7,0.9,03/03/2022,10,1
BIM008,764,Bishop,NA,02/03/2022,M,Inbred,NA,NA,730,24.1,3,13/02/2018,1478,4,2,1,7,0.9,03/03/2022,11,1
BIM009,764,Bishop,NA,02/03/2022,M,Inbred,NA,NA,730,24.1,3,13/02/2018,1478,4,2,1,7,0.9,03/03/2022,10,1
BAF004,615,Bateleur,NA,09/09/2020,F,Inbred,StatusChange,Eviction,740,24.5,2,28/04/2017,1230,2,1,1,3,0.8,11/09/2020,9,2
TEM013,763,Tit-Babbler,NA,18/02/2022,M,Inbred,NA,NA,742,24.5,2,15/11/2015,2287,6,15,1,7,0.9,22/02/2022,9,4
KBF010,670,Kori,08/03/2023,21/02/2021,F,Outbred,Death,Artificial,745,24.6,4,03/03/2017,1451,3,9,1,5,1.3,22/02/2021,10,1
KBF011,670,Kori,08/03/2023,21/02/2021,F,Outbred,Death,Artificial,745,24.6,4,03/03/2017,1451,3,9,1,5,1.3,22/02/2021,10,1
KBM008,670,Kori,08/03/2023,21/02/2021,M,Outbred,Death,Artificial,745,24.6,4,03/03/2017,1451,3,9,1,5,1.3,22/02/2021,11,1
KBM009,670,Kori,08/03/2023,21/02/2021,M,Outbred,Death,Artificial,745,24.6,4,03/03/2017,1451,3,9,1,5,1.3,22/02/2021,11,1
HCF005,756,Hammercobb,NA,01/02/2022,F,Outbred,NA,NA,759,25.1,4,09/01/2018,1484,2,5,1,5,0.6,03/02/2022,8,2
HCM004,756,Hammercobb,NA,01/02/2022,M,Outbred,NA,NA,759,25.1,4,09/01/2018,1484,2,5,1,5,0.6,03/02/2022,8,2
HCM006,756,Hammercobb,NA,01/02/2022,M,Outbred,NA,NA,759,25.1,4,09/01/2018,1484,2,5,1,5,0.6,03/02/2022,8,2
VLM012,755,Vulture,NA,30/01/2022,M,Outbred,NA,NA,761,25.2,2,16/09/2016,1962,5,16,1,13,1.6,31/01/2022,11,1
VLM013,755,Vulture,NA,30/01/2022,M,Outbred,NA,NA,761,25.2,2,16/09/2016,1962,5,16,1,13,1.6,31/01/2022,12,1
KSM012,752,Kapantsi,NA,28/01/2022,M,Outbred,NA,NA,763,25.2,5,11/08/2016,1996,5,8,1,7,0.9,28/01/2022,10,0
KSM014,752,Kapantsi,NA,28/01/2022,M,Outbred,NA,NA,763,25.2,5,11/08/2016,1996,5,8,1,7,0.9,28/01/2022,9,0
KSM016,752,Kapantsi,NA,28/01/2022,M,Outbred,NA,NA,763,25.2,5,11/08/2016,1996,5,8,1,7,0.9,28/01/2022,9,0
BIM004,665,Bishop,23/03/2023,11/02/2021,M,Inbred,Death,Artificial,770,25.5,3,13/02/2018,1094,2,2,1,3,0.8,12/02/2021,9,1
MBM008,710,Marabou,NA,14/08/2021,M,Outbred,Death,Artificial,796,26.3,2,28/06/2016,1873,4,10,1,7,0.9,15/08/2021,12,1
MBM009,710,Marabou,NA,14/08/2021,M,Outbred,Death,Artificial,796,26.3,2,28/06/2016,1873,4,10,1,7,0.9,15/08/2021,10,1
TLF018,740,Tarentaal,NA,12/12/2021,F,Inbred,NA,NA,810,26.8,5,27/01/2016,2146,5,13,1,10,1.3,15/12/2021,10,3
TLF022,740,Tarentaal,NA,12/12/2021,F,Inbred,NA,NA,810,26.8,5,27/01/2016,2146,5,13,1,10,1.3,15/12/2021,9,3
TLM019,740,Tarentaal,NA,12/12/2021,M,Inbred,NA,NA,810,26.8,5,27/01/2016,2146,5,13,1,10,1.3,15/12/2021,9,3
MBF004,634,Marabou,NA,14/11/2020,F,Outbred,StatusChange,Removal,811,26.8,2,28/06/2016,1600,2,10,1,3,0.8,14/11/2020,11,0
SNF016,737,Sneeubal,NA,02/12/2021,F,Inbred,NA,NA,820,27.1,4,15/11/2015,2209,5,12,1,8,1,05/12/2021,8,3
SNF017,737,Sneeubal,NA,02/12/2021,F,Inbred,NA,NA,820,27.1,4,15/11/2015,2209,5,12,1,8,1,05/12/2021,8,3
SNM014,737,Sneeubal,NA,02/12/2021,M,Inbred,NA,NA,820,27.1,4,15/11/2015,2209,5,12,1,8,1,05/12/2021,8,3
SNM015,737,Sneeubal,NA,02/12/2021,M,Inbred,NA,NA,820,27.1,4,15/11/2015,2209,5,12,1,8,1,05/12/2021,9,3
VLF011,723,Vulture,15/01/2024,02/10/2021,F,Outbred,Death,Artificial,835,27.6,4,16/09/2016,1842,4,16,1,10,1.3,05/10/2021,10,3
BIF005,730,Bishop,NA,15/11/2021,F,Inbred,NA,NA,837,27.7,2,13/02/2018,1371,3,2,1,5,0.6,19/11/2021,11,4
BIF006,730,Bishop,NA,15/11/2021,F,Inbred,NA,NA,837,27.7,2,13/02/2018,1371,3,2,1,5,0.6,19/11/2021,10,4
VLF006,699,Vulture,NA,20/06/2021,F,Outbred,StatusChange,Removal,851,28.1,3,16/09/2016,1738,3,16,1,7,0.9,21/06/2021,11,1
KBF005,609,Kori,08/03/2023,28/08/2020,F,Outbred,Death,Artificial,922,30.5,3,03/03/2017,1274,2,9,1,3,0.8,31/08/2020,10,3
SNF012,713,Sneeubal,NA,19/08/2021,F,Inbred,NA,NA,925,30.6,3,15/11/2015,2104,4,12,1,5,0.6,19/08/2021,9,0
SNM013,713,Sneeubal,NA,19/08/2021,M,Inbred,NA,NA,925,30.6,3,15/11/2015,2104,4,12,1,5,0.6,19/08/2021,8,0
MBM007,679,Marabou,NA,19/03/2021,M,Outbred,Death,Artificial,944,31.2,2,28/06/2016,1725,3,10,1,5,1.3,20/03/2021,12,1
KSF010,704,Kapantsi,15/02/2024,11/07/2021,F,Outbred,Death,Immigration,949,31.4,3,11/08/2016,1795,4,8,1,5,0.6,12/07/2021,12,1
KSM009,704,Kapantsi,NA,11/07/2021,M,Outbred,NA,NA,964,31.9,3,11/08/2016,1795,4,8,1,5,0.6,12/07/2021,11,1
TNF018,696,Tinktinkie,22/01/2024,01/06/2021,F,Inbred,Death,Artificial,965,31.9,4,05/10/2017,1335,4,14,1,6,0.8,01/06/2021,7,0
TNM017,696,Tinktinkie,22/01/2024,01/06/2021,M,Inbred,Death,Artificial,965,31.9,4,05/10/2017,1335,4,14,1,6,0.8,01/06/2021,10,0
TNF015,696,Tinktinkie,22/01/2024,01/06/2021,F,Inbred,Death,Artificial,965,31.9,4,05/10/2017,1335,4,14,1,6,0.8,01/06/2021,7,0
TNF016,696,Tinktinkie,22/01/2024,01/06/2021,F,Inbred,Death,Artificial,965,31.9,4,05/10/2017,1335,4,14,1,6,0.8,01/06/2021,7,0
TLM015,691,Tarentaal,27/01/2024,20/05/2021,M,Inbred,Death,Natural,982,32.5,4,27/01/2016,1940,4,13,1,8,1,20/05/2021,9,0
VLM007,699,Vulture,NA,20/06/2021,M,Outbred,NA,NA,985,32.6,3,16/09/2016,1738,3,16,1,7,0.9,21/06/2021,12,1
VLM008,699,Vulture,NA,20/06/2021,M,Outbred,NA,NA,985,32.6,3,16/09/2016,1738,3,16,1,7,0.9,21/06/2021,9,1
TLM016,691,Tarentaal,NA,20/05/2021,M,Inbred,NA,NA,1016,33.6,4,27/01/2016,1940,4,13,1,8,1,20/05/2021,9,0
PIF010,689,Pigeon,NA,16/05/2021,F,Inbred,NA,NA,1020,33.7,3,26/03/2016,1877,4,11,1,7,0.9,17/05/2021,9,1
HOM001,632,Hoopoe,13/09/2023,10/11/2020,M,Inbred,Death,Artificial,1037,34.3,1,24/02/2017,1355,1,6,1,2,0.5,12/11/2020,11,2
MBM005,634,Marabou,NA,14/11/2020,M,Outbred,Death,Artificial,1069,35.3,2,28/06/2016,1600,2,10,1,3,0.8,14/11/2020,12,0
VLF004,630,Vulture,23/10/2023,08/11/2020,F,Outbred,Death,Artificial,1079,35.7,2,16/09/2016,1514,2,16,1,5,1.3,09/11/2020,11,1
KSM006,673,Kapantsi,NA,02/03/2021,M,Outbred,NA,NA,1095,36.2,3,11/08/2016,1664,3,8,1,5,1.3,02/03/2021,11,0
KSM008,673,Kapantsi,NA,02/03/2021,M,Outbred,NA,NA,1095,36.2,3,11/08/2016,1664,3,8,1,5,1.3,02/03/2021,9,0
BIM002,665,Bishop,NA,11/02/2021,M,Inbred,NA,NA,1114,36.8,3,13/02/2018,1094,2,2,1,3,0.8,12/02/2021,10,1
KBM002,557,Kori,08/03/2023,14/02/2020,M,Outbred,Death,Artificial,1118,37,4,03/03/2017,1078,1,9,1,2,0.5,16/02/2020,11,2
PIM006,663,Pigeon,NA,27/01/2021,M,Inbred,NA,NA,1129,37.3,4,26/03/2016,1768,3,11,1,5,1.3,28/01/2021,7,1
TEM007,659,Tit-Babbler,NA,25/01/2021,M,Inbred,NA,NA,1131,37.4,2,15/11/2015,1898,3,15,1,5,1.3,26/01/2021,10,1
TEM008,659,Tit-Babbler,NA,25/01/2021,M,Inbred,NA,NA,1131,37.4,2,15/11/2015,1898,3,15,1,5,1.3,26/01/2021,9,1
TNM012,648,Tinktinkie,22/01/2024,13/12/2020,M,Inbred,Death,Artificial,1135,37.5,4,05/10/2017,1165,3,14,1,4,1,15/12/2020,8,2
TNF011,648,Tinktinkie,22/01/2024,13/12/2020,F,Inbred,Death,Artificial,1135,37.5,4,05/10/2017,1165,3,14,1,4,1,15/12/2020,7,2
TLF010,654,Tarentaal,NA,06/01/2021,F,Inbred,NA,NA,1150,38,5,27/01/2016,1806,3,13,1,4,1,07/01/2021,8,1
TLF012,654,Tarentaal,NA,06/01/2021,F,Inbred,NA,NA,1150,38,5,27/01/2016,1806,3,13,1,4,1,07/01/2021,9,1
TLF013,654,Tarentaal,NA,06/01/2021,F,Inbred,NA,NA,1150,38,5,27/01/2016,1806,3,13,1,4,1,07/01/2021,9,1
TLM009,654,Tarentaal,NA,06/01/2021,M,Inbred,NA,NA,1150,38,5,27/01/2016,1806,3,13,1,4,1,07/01/2021,8,1
BAF005,615,Bateleur,NA,09/09/2020,F,Inbred,NA,NA,1169,38.6,2,28/04/2017,1230,2,1,1,3,0.8,11/09/2020,11,2
VLF005,630,Vulture,NA,08/11/2020,F,Outbred,NA,NA,1209,40,2,16/09/2016,1514,2,16,1,5,1.3,09/11/2020,10,1
BIF001,629,Bishop,NA,29/10/2020,F,Inbred,NA,NA,1219,40.3,1,13/02/2018,989,1,2,1,2,0.5,30/10/2020,11,1
HCF001,628,Hammercobb,NA,26/10/2020,F,Outbred,NA,NA,1222,40.4,3,09/01/2018,1021,1,5,1,2,0.5,28/10/2020,10,2
HCM002,628,Hammercobb,NA,26/10/2020,M,Outbred,NA,NA,1222,40.4,3,09/01/2018,1021,1,5,1,2,0.5,28/10/2020,12,2
HCM003,628,Hammercobb,NA,26/10/2020,M,Outbred,NA,NA,1222,40.4,3,09/01/2018,1021,1,5,1,2,0.5,28/10/2020,11,2
PIF004,623,Pigeon,NA,13/10/2020,F,Inbred,NA,NA,1235,40.8,2,26/03/2016,1662,2,11,1,4,1,13/10/2020,8,0
PIM003,623,Pigeon,NA,13/10/2020,M,Inbred,NA,NA,1235,40.8,2,26/03/2016,1662,2,11,1,4,1,13/10/2020,10,0
TEM004,618,Tit-Babbler,NA,04/10/2020,M,Inbred,NA,NA,1244,41.1,3,15/11/2015,1785,2,15,1,4,1,05/10/2020,8,1
TNM009,599,Tinktinkie,22/01/2024,04/08/2020,M,Inbred,Death,Artificial,1266,41.9,3,05/10/2017,1034,2,14,1,3,0.8,05/08/2020,9,1
SNF003,603,Sneeubal,NA,14/08/2020,F,Inbred,NA,NA,1295,42.8,3,15/11/2015,1734,1,12,1,2,0.5,17/08/2020,9,3
SNM001,603,Sneeubal,NA,14/08/2020,M,Inbred,NA,NA,1295,42.8,3,15/11/2015,1734,1,12,1,2,0.5,17/08/2020,10,3
SNM002,603,Sneeubal,NA,14/08/2020,M,Inbred,NA,NA,1295,42.8,3,15/11/2015,1734,1,12,1,2,0.5,17/08/2020,10,3
BAM001,573,Bateleur,NA,30/03/2020,M,Inbred,Death,Artificial,1332,44,3,28/04/2017,1067,1,1,1,2,0.5,31/03/2020,13,1
PIF001,593,Pigeon,NA,28/06/2020,F,Inbred,NA,NA,1342,44.4,2,26/03/2016,1555,1,11,1,2,0.5,29/06/2020,10,1
VLM001,585,Vulture,NA,18/05/2020,M,Outbred,NA,NA,1383,45.7,3,16/09/2016,1340,1,16,1,2,0.5,19/05/2020,10,1
VLM002,585,Vulture,NA,18/05/2020,M,Outbred,NA,NA,1383,45.7,3,16/09/2016,1340,1,16,1,2,0.5,19/05/2020,11,1
VLM003,585,Vulture,NA,18/05/2020,M,Outbred,NA,NA,1383,45.7,3,16/09/2016,1340,1,16,1,2,0.5,19/05/2020,13,1
TLF005,574,Tarentaal,NA,30/03/2020,F,Inbred,NA,NA,1432,47.3,5,27/01/2016,1524,2,13,1,2,0.5,31/03/2020,8,1
TLF007,574,Tarentaal,NA,30/03/2020,F,Inbred,NA,NA,1432,47.3,5,27/01/2016,1524,2,13,1,2,0.5,31/03/2020,9,1
TNF003,560,Tinktinkie,22/01/2024,17/02/2020,F,Inbred,Death,Artificial,1435,47.4,6,05/10/2017,865,1,14,1,2,0.5,22/02/2020,11,5
GEF001,563,Geelvink,NA,23/02/2020,F,Outbred,NA,NA,1468,48.5,3,14/06/2014,2080,1,4,1,2,0.5,25/02/2020,12,2
GEM003,563,Geelvink,NA,23/02/2020,M,Outbred,NA,NA,1468,48.5,3,14/06/2014,2080,1,4,1,2,0.5,25/02/2020,10,2
